Wavelength (nm),,Transmittance,,Reflectance
1027,,0.061412743,,0.938587257
1028,,0.061894848,,0.938105152
1029,,0.061775808,,0.938224192
1030,,0.061047771,,0.938952229
1031,,0.059740757,,0.940259243
1032,,0.057918761,,0.942081239
1033,,0.055671083,,0.944328917
1034,,0.053101097,,0.946898903
1035,,0.050314902,,0.949685098
1036,,0.047411876,,0.952588124
1037,,0.044478296,,0.955521704
1038,,0.041584089,,0.958415911
1039,,0.038782183,,0.961217817
1040,,0.036109723,,0.963890277
1041,,0.033590316,,0.966409684
1042,,0.031236644,,0.968763356
1043,,0.029053082,,0.970946918
1044,,0.027037996,,0.972962004
1045,,0.025185633,,0.974814367
1046,,0.023487618,,0.976512382
1047,,0.021934085,,0.978065915
1048,,0.020514471,,0.979485529
1049,,0.019218077,,0.980781923
1050,,0.018034448,,0.981965552
1051,,0.016953608,,0.983046392
1052,,0.015966195,,0.984033805
1053,,0.015063542,,0.984936458
1054,,0.014237704,,0.985762296
1055,,0.013481441,,0.986518559
1056,,0.012788201,,0.987211799
1057,,0.012152067,,0.987847933
1058,,0.011567705,,0.988432295
1059,,0.011030315,,0.988969685
1060,,0.010535585,,0.989464415
1061,,0.010079639,,0.989920361
1062,,0.009659003,,0.990340997
1063,,0.00927056,,0.99072944
1064,,0.008911512,,0.991088488
1065,,0.008579345,,0.991420655
1066,,0.008271795,,0.991728205
1067,,0.007986822,,0.992013178
1068,,0.007722584,,0.992277416
1069,,0.007477427,,0.992522573
1070,,0.007249855,,0.992750145
1071,,0.007038521,,0.992961479
1072,,0.006842212,,0.993157788
1073,,0.006659826,,0.993340174
1074,,0.006490367,,0.993509633
1075,,0.006332933,,0.993667067
1076,,0.006186701,,0.993813299
1077,,0.00605093,,0.99394907
1078,,0.005924948,,0.994075052
1079,,0.005808144,,0.994191856
1080,,0.005699963,,0.994300037
1081,,0.0055999,,0.9944001
1082,,0.005507493,,0.994492507
1083,,0.005422321,,0.994577679
1084,,0.005344004,,0.994655996
1085,,0.005272195,,0.994727805
1086,,0.005206579,,0.994793421
1087,,0.005146876,,0.994853124
1088,,0.005092831,,0.994907169
1089,,0.005044213,,0.994955787
1090,,0.005000818,,0.994999182
1091,,0.004962459,,0.995037541
1092,,0.004928969,,0.995071031
1093,,0.004900196,,0.995099804
1094,,0.004876008,,0.995123992
1095,,0.004856288,,0.995143712
1096,,0.004840937,,0.995159063
1097,,0.004829872,,0.995170128
1098,,0.004823028,,0.995176972
1099,,0.00482035,,0.99517965
1100,,0.004821799,,0.995178201
1101,,0.004827344,,0.995172656
1102,,0.004836964,,0.995163036
1103,,0.004850654,,0.995149346
1104,,0.004868418,,0.995131582
1105,,0.004890275,,0.995109725
1106,,0.004916253,,0.995083747
1107,,0.004946392,,0.995053608
1108,,0.004980742,,0.995019258
1109,,0.005019364,,0.994980636
1110,,0.005062331,,0.994937669
1111,,0.005109728,,0.994890272
1112,,0.005161655,,0.994838345
1113,,0.005218226,,0.994781774
1114,,0.005279564,,0.994720436
1115,,0.00534581,,0.99465419
1116,,0.005417112,,0.994582888
1117,,0.005493635,,0.994506365
1118,,0.005575555,,0.994424445
1119,,0.005663065,,0.994336935
1120,,0.005756375,,0.994243625
1121,,0.005855708,,0.994144292
1122,,0.005961308,,0.994038692
1123,,0.006073436,,0.993926564
1124,,0.006192371,,0.993807629
1125,,0.006318412,,0.993681588
1126,,0.006451876,,0.993548124
1127,,0.006593102,,0.993406898
1128,,0.006742451,,0.993257549
1129,,0.006900304,,0.993099696
1130,,0.007067068,,0.992932932
1131,,0.007243174,,0.992756826
1132,,0.007429077,,0.992570923
1133,,0.007625258,,0.992374742
1134,,0.007832225,,0.992167775
1135,,0.00805051,,0.99194949
1136,,0.008280671,,0.991719329
1137,,0.008523295,,0.991476705
1138,,0.008778991,,0.991221009
1139,,0.009048394,,0.990951606
1140,,0.009332162,,0.990667838
1141,,0.009630973,,0.990369027
1142,,0.009945522,,0.990054478
1143,,0.010276519,,0.989723481
1144,,0.010624683,,0.989375317
1145,,0.010990734,,0.989009266
1146,,0.011375387,,0.988624613
1147,,0.011779343,,0.988220657
1148,,0.012203278,,0.987796722
1149,,0.012647829,,0.987352171
1150,,0.013113579,,0.986886421
1151,,0.013601035,,0.986398965
1152,,0.014110612,,0.985889388
1153,,0.014642605,,0.985357395
1154,,0.015197161,,0.984802839
1155,,0.015774254,,0.984225746
1156,,0.016373644,,0.983626356
1157,,0.016994848,,0.983005152
1158,,0.017637095,,0.982362905
1159,,0.018299294,,0.981700706
1160,,0.018979989,,0.981020011
1161,,0.019677321,,0.980322679
1162,,0.020388997,,0.979611003
1163,,0.021112258,,0.978887742
1164,,0.021843855,,0.978156145
1165,,0.022580046,,0.977419954
1166,,0.023316597,,0.976683403
1167,,0.024048804,,0.975951196
1168,,0.024771532,,0.975228468
1169,,0.025479276,,0.974520724
1170,,0.026166248,,0.973833752
1171,,0.026826478,,0.973173522
